City Name,Zone Name,Ward Name,Ward No.,Area (in sq km),Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands),population - children aged 0-14 (in thousands),Population - youth aged 15-24 (in thousands),Population - adults aged 25-60 (in thousands),Population - Senior citizens aged 60+ (in thousands)
Bengaluru,East,Nagavara,90,1.7,35090,19627,15463,3005,NA,NA,NA
Bengaluru,East,HBR Layout,91,0.8,32689,16493,16196,3421,NA,NA,NA
Bengaluru,Mahadevapura,Horamavu,92,0.4,37506,19324,18182,4788,NA,NA,NA
Bengaluru,Mahadevapura,Ramamurthy Nagar,93,3.1,22815,11039,11776,1575,NA,NA,NA
Bengaluru,East,Banasavadi,94,1.9,31208,17306,13902,2653,NA,NA,NA
Bengaluru,East,Kammanahalli,95,1.3,37693,19313,18380,3908,NA,NA,NA
Bengaluru,East,Kacharkanahalli,96,0.8,38110,19481,18629,4153,NA,NA,NA
Bengaluru,East,Kadugondanahalli,97,0.4,35721,18163,17558,3411,NA,NA,NA
Bengaluru,East,Kushal Nagar,98,0.6,32913,16837,16076,3121,NA,NA,NA
Bengaluru,East,Kaval Bairasandra,99,0.9,33084,16969,16115,3052,NA,NA,NA
Bengaluru,East,Manorayana Palya,100,0.8,30333,15465,14868,2764,NA,NA,NA
Bengaluru,East,Gangenahalli,101,0.9,30051,15700,14351,2882,NA,NA,NA
Bengaluru,West,Aramane Nagara,102,1,50893,27129,23764,5361,NA,NA,NA
Bengaluru,West,Mattikere,103,1.7,53532,28684,24848,5684,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,104,0.8,26873,13862,13011,2476,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,HMT Ward,105,0.8,28355,14614,13741,2684,NA,NA,NA
Bengaluru,Dasarahalli,Chokkasandra,106,1,24181,12517,11664,2152,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,107,0.8,36461,19071,17390,3269,NA,NA,NA
Bengaluru,Dasarahalli,Peenya Industrial Area,108,1.1,33866,17274,16592,2783,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,109,0.7,33292,17629,15663,3513,NA,NA,NA
Bengaluru,West,Nandini Layout,110,4.4,27504,13999,13505,2472,NA,NA,NA
Bengaluru,West,Marappana Palya,111,4,22995,11518,11477,1883,NA,NA,NA
Bengaluru,West,Malleshwaram,112,1.7,30638,15497,15141,2622,NA,NA,NA
Bengaluru,East,Jayachamarajendra Nagar,113,2.1,38108,19995,18113,3932,NA,NA,NA
Bengaluru,East,Devara Jeevanahalli,114,11,36916,21259,15657,3066,NA,NA,NA
Bengaluru,East,Muneshwara Nagar,115,0.8,37060,18685,18375,3770,NA,NA,NA
Bengaluru,East,Lingarajapura,116,0.5,48534,25323,23211,6226,NA,NA,NA
Bengaluru,East,Benniganahalli,117,2.7,42095,22237,19858,4102,NA,NA,NA
Bengaluru,Mahadevapura,Vijnanapura,118,1,28784,14447,14337,3297,NA,NA,NA
Bengaluru,Mahadevapura,KR Puram,119,1.1,27076,14156,12920,3058,NA,NA,NA
Bengaluru,Mahadevapura,Basavanapura,120,0.8,37344,19213,18131,4071,NA,NA,NA
Bengaluru,Mahadevapura,Hudi,121,0.8,37354,19156,18198,3701,NA,NA,NA
Bengaluru,Mahadevapura,Devasandra,122,0.4,40032,20374,19658,4118,NA,NA,NA
Bengaluru,Mahadevapura,A Narayanapura,123,0.7,40331,20905,19426,3928,NA,NA,NA
Bengaluru,East,C.V. Raman Nagar,124,0.9,37347,18944,18403,3663,NA,NA,NA
Bengaluru,East,New Tippa Sandra,125,0.7,21171,10838,10333,1811,NA,NA,NA
Bengaluru,East,Maruthi Seva Nagar,126,0.8,29319,15225,14094,2792,NA,NA,NA
Bengaluru,East,Sagayara Puram,127,1,43729,22625,21104,4791,NA,NA,NA
Bengaluru,East,SK Garden,128,1.6,35780,18239,17541,4260,NA,NA,NA
Bengaluru,East,Ramaswamy Palya,129,11.9,68132,35366,32766,7299,NA,NA,NA
Bengaluru,East,Jaya Mahal,130,8.7,58199,30069,28130,6889,NA,NA,NA
Bengaluru,West,Raj Mahal Guttahalli,131,2.1,42785,22051,20734,5299,NA,NA,NA
Bengaluru,West,Kadu Malleshwar Ward,132,1.4,41487,21447,20040,4071,NA,NA,NA
Bengaluru,West,Subramanya Nagar,133,1.1,35113,17900,17213,3395,NA,NA,NA
Bengaluru,West,Nagapura,134,0.7,49484,25763,23721,6268,NA,NA,NA
Bengaluru,Yelahanka,Kempegowda Ward,135,0.3,37599,19364,18235,5756,NA,NA,NA
Bengaluru,Yelahanka,Chowdeswari Ward,136,0.6,38639,19773,18866,5335,NA,NA,NA
Bengaluru,Yelahanka,Atturu,137,0.4,36039,18319,17720,4263,NA,NA,NA
Bengaluru,Yelahanka,Yelahanka Satellite Town,138,0.4,24801,12533,12268,2979,NA,NA,NA
Bengaluru,Yelahanka,Jakkuru,139,0.8,29344,15128,14216,3637,NA,NA,NA
Bengaluru,Yelahanka,Thanisandra,140,1,32213,16436,15777,2931,NA,NA,NA
Bengaluru,Yelahanka,Byatarayanapura,141,0.7,38825,19790,19035,4320,NA,NA,NA
Bengaluru,Yelahanka,Kodigehalli,142,1.5,34666,17687,16979,2687,NA,NA,NA
Bengaluru,Yelahanka,Vidyaranyapura,143,2.5,32462,16316,16146,2934,NA,NA,NA
Bengaluru,Yelahanka,Dodda Bommasandra,144,0.7,34879,17622,17257,4515,NA,NA,NA
Bengaluru,Yelahanka,Kuvempu Nagar,145,1.4,38309,19813,18496,3868,NA,NA,NA
Bengaluru,Dasarahalli,Shettihalli,146,1.3,30667,15786,14881,3210,NA,NA,NA
Bengaluru,Dasarahalli,Mallasandra,147,1.6,34299,17717,16582,3708,NA,NA,NA
Bengaluru,Dasarahalli,Bagalakunte,148,1.9,47004,24717,22287,4643,NA,NA,NA
Bengaluru,Dasarahalli,T Dasarahalli,149,28.3,54625,28959,25666,6877,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Jalahalli,150,26.4,80180,44031,36149,10955,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,J P Park,151,3.7,38316,19397,18919,3557,NA,NA,NA
Bengaluru,East,Radhakrishna Temple Ward,152,1.7,39997,21788,18209,3837,NA,NA,NA
Bengaluru,East,SanJayanagar,153,2.5,38151,19276,18875,4118,NA,NA,NA
Bengaluru,East,Ganga Nagar,154,1.2,32640,16222,16418,2425,NA,NA,NA
Bengaluru,East,Hebbala,155,1,36982,18870,18112,3361,NA,NA,NA
Bengaluru,East,Vishwanath Nagenahalli,156,0.8,41379,21222,20157,4005,NA,NA,NA
Bengaluru,East,Nagavara,157,1.1,34653,17967,16686,3658,NA,NA,NA
Bengaluru,East,HBR Layout,158,2.1,45928,24007,21921,5174,NA,NA,NA
Bengaluru,Mahadevapura,Horamavu,159,5.1,40771,21051,19720,4281,NA,NA,NA
Bengaluru,Mahadevapura,Ramamurthy Nagar,160,11.1,56897,29439,27458,5814,NA,NA,NA
Bengaluru,East,Banasavadi,161,1.3,46805,25173,21632,4852,NA,NA,NA
Bengaluru,East,Kammanahalli,162,1.8,43195,21843,21352,3678,NA,NA,NA
Bengaluru,East,Kacharkanahalli,163,1.1,45572,23340,22232,3979,NA,NA,NA
Bengaluru,East,Kadugondanahalli,164,1.2,43483,22546,20937,3869,NA,NA,NA
Bengaluru,East,Kushal Nagar,165,1.6,25998,12983,13015,2162,NA,NA,NA
