City Name,Zone Name,Ward Name,Ward No.,Total no. of Households,,,,,,,,,,,,,,,
Bengaluru,West,Raj Mahal Guttahalli,131,10285,,,,,,,,,,,,,,,
Bengaluru,West,Kadu Malleshwar Ward,132,10576,,,,,,,,,,,,,,,
Bengaluru,West,Subramanya Nagar,133,8456,,,,,,,,,,,,,,,
Bengaluru,West,Nagapura,134,10647,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Kempegowda Ward,135,7273,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Chowdeswari Ward,136,7751,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Atturu,137,7549,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Yelahanka Satellite Town,138,4896,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Jakkuru,139,5903,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Thanisandra,140,7500,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Byatarayanapura,141,9246,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Kodigehalli,142,8643,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Vidyaranyapura,143,7361,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Dodda Bommasandra,144,7396,,,,,,,,,,,,,,,
Bengaluru,Yelahanka,Kuvempu Nagar,145,8948,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Shettihalli,146,7229,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Mallasandra,147,8236,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Bagalakunte,148,12575,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,T Dasarahalli,149,14256,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Jalahalli,150,22368,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,J P Park,151,9719,,,,,,,,,,,,,,,
Bengaluru,East,Radhakrishna Temple Ward,152,10933,,,,,,,,,,,,,,,
Bengaluru,East,SanJayanagar,153,8427,,,,,,,,,,,,,,,
Bengaluru,East,Ganga Nagar,154,8624,,,,,,,,,,,,,,,
Bengaluru,East,Hebbala,155,9483,,,,,,,,,,,,,,,
Bengaluru,East,Vishwanath Nagenahalli,156,10574,,,,,,,,,,,,,,,
Bengaluru,East,Nagavara,157,8668,,,,,,,,,,,,,,,
Bengaluru,East,HBR Layout,158,11676,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Horamavu,159,10168,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Ramamurthy Nagar,160,14408,,,,,,,,,,,,,,,
Bengaluru,East,Banasavadi,161,12122,,,,,,,,,,,,,,,
Bengaluru,East,Kammanahalli,162,11180,,,,,,,,,,,,,,,
Bengaluru,East,Kacharkanahalli,163,11997,,,,,,,,,,,,,,,
Bengaluru,East,Kadugondanahalli,164,11425,,,,,,,,,,,,,,,
Bengaluru,East,Kushal Nagar,165,6472,,,,,,,,,,,,,,,
Bengaluru,East,Kaval Bairasandra,166,6492,,,,,,,,,,,,,,,
Bengaluru,East,Manorayana Palya,167,8455,,,,,,,,,,,,,,,
Bengaluru,East,Gangenahalli,168,7163,,,,,,,,,,,,,,,
Bengaluru,West,Aramane Nagara,169,7423,,,,,,,,,,,,,,,
Bengaluru,West,Mattikere,170,7961,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,171,10513,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,HMT Ward,172,11517,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Chokkasandra,173,9040,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,174,16847,,,,,,,,,,,,,,,
Bengaluru,Dasarahalli,Peenya Industrial Area,175,11368,,,,,,,,,,,,,,,
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,176,14540,,,,,,,,,,,,,,,
Bengaluru,West,Nandini Layout,177,7566,,,,,,,,,,,,,,,
Bengaluru,West,Marappana Palya,178,7985,,,,,,,,,,,,,,,
Bengaluru,West,Malleshwaram,179,6537,,,,,,,,,,,,,,,
Bengaluru,East,Jayachamarajendra Nagar,180,9461,,,,,,,,,,,,,,,
Bengaluru,East,Devara Jeevanahalli,181,11881,,,,,,,,,,,,,,,
Bengaluru,East,Muneshwara Nagar,182,10771,,,,,,,,,,,,,,,
Bengaluru,East,Lingarajapura,183,11403,,,,,,,,,,,,,,,
Bengaluru,East,Benniganahalli,184,14675,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Vijnanapura,185,11338,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,KR Puram,186,9818,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Basavanapura,187,13230,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Hudi,188,13186,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,Devasandra,189,18192,,,,,,,,,,,,,,,
Bengaluru,Mahadevapura,A Narayanapura,190,16903,,,,,,,,,,,,,,,
Bengaluru,East,C.V. Raman Nagar,191,18214,,,,,,,,,,,,,,,
Bengaluru,East,New Tippa Sandra,192,21322,,,,,,,,,,,,,,,
Bengaluru,East,Maruthi Seva Nagar,193,15272,,,,,,,,,,,,,,,
Bengaluru,East,Sagayara Puram,194,13457,,,,,,,,,,,,,,,
Bengaluru,East,SK Garden,195,14984,,,,,,,,,,,,,,,
Bengaluru,East,Ramaswamy Palya,196,11049,,,,,,,,,,,,,,,
Bengaluru,East,Jaya Mahal,197,16079,,,,,,,,,,,,,,,
Bengaluru,West,Raj Mahal Guttahalli,198,12687,,,,,,,,,,,,,,,
